x_value,total_1,total_2
0,1000,1000
1,1004,996
2,1010,996
3,1014,995
4,1022,991
5,1020,997
6,1014,997
7,1017,996
8,1023,994
9,1017,996
10,1014,991
11,1016,994
12,1021,998
13,1029,1002
14,1025,1003
15,1023,998
16,1019,996
17,1025,996
18,1024,995
19,1021,998
20,1021,999
21,1028,1001
22,1022,1002
23,1021,1006
24,1019,1010
25,1013,1007
26,1007,1007
27,1012,1005
28,1015,1001
29,1022,1001
30,1017,997
31,1015,994
32,1022,990
33,1029,986
34,1029,983
35,1024,985
36,1025,985
37,1019,986
38,1016,988
39,1010,993
40,1018,990
41,1026,995
42,1024,994
43,1018,991
44,1012,987
45,1008,985
46,1015,984
47,1021,984
48,1015,982
49,1019,981
50,1017,979
51,1016,983
52,1015,983
53,1020,981
54,1018,976
55,1021,981
56,1019,987
57,1019,982
58,1021,980
59,1027,978
60,1023,980
61,1025,977
62,1029,979
63,1037,980
64,1039,986
65,1039,987
66,1034,987
67,1032,985
68,1033,986
69,1032,992
70,1037,998
71,1039,997
72,1034,998
73,1031,993
74,1036,988
75,1030,988
76,1030,984
77,1034,982
78,1038,981
79,1038,986
80,1038,990
81,1043,996
82,1051,1000
83,1051,1005
84,1053,1009
85,1048,1009
86,1043,1013
87,1045,1019
88,1052,1015
89,1053,1011
90,1058,1017
91,1061,1021
92,1066,1021
93,1071,1024
94,1068,1023
95,1071,1018
96,1078,1015
97,1079,1018
98,1085,1019
99,1085,1020
100,1085,1021
101,1088,1026
102,1087,1023
103,1082,1023
104,1090,1018
105,1097,1018
106,1098,1013
107,1093,1009
108,1089,1007
109,1092,1013
110,1086,1008
111,1090,1011
112,1097,1017
113,1092,1012
114,1094,1016
115,1091,1019
116,1091,1025
117,1093,1031
118,1098,1027
119,1094,1023
120,1095,1028
121,1090,1033
122,1092,1032
123,1099,1033
124,1099,1028
125,1095,1027
126,1101,1024
127,1100,1029
128,1098,1035
129,1098,1032
130,1093,1033
131,1101,1038
132,1108,1035
133,1114,1034
134,1110,1033
135,1107,1029
136,1109,1033
137,1110,1032
138,1112,1031
139,1106,1032
140,1105,1030
141,1106,1027
142,1113,1033
143,1110,1035
144,1116,1039
145,1119,1036
146,1119,1036
147,1120,1037
148,1122,1037
149,1125,1037
150,1131,1032
151,1125,1030
152,1132,1035
153,1131,1033
154,1136,1030
155,1144,1035
156,1139,1036
157,1134,1032
158,1141,1028
159,1136,1027
160,1136,1022
161,1140,1024
162,1139,1022
163,1145,1026
164,1144,1025
165,1152,1030
166,1152,1027
167,1156,1023
168,1153,1028
169,1150,1028
170,1157,1033
171,1153,1034
172,1155,1033
173,1159,1035
174,1154,1039
175,1154,1038
176,1151,1040
177,1153,1039
178,1149,1044
179,1143,1039
180,1148,1036
181,1148,1032
182,1151,1034
183,1146,1039
184,1143,1035
185,1145,1036
186,1150,1041
187,1151,1047
188,1158,1047
189,1160,1042
190,1160,1040
191,1165,1038
192,1168,1043
193,1163,1045
194,1161,1050
195,1166,1056
196,1174,1056
197,1177,1059
198,1173,1055
199,1180,1053
200,1177,1058
201,1173,1053
202,1181,1052
203,1179,1049
204,1177,1044
205,1183,1049
206,1185,1049
207,1185,1052
208,1189,1054
209,1193,1051
210,1197,1048
211,1191,1044
212,1186,1047
213,1185,1052
214,1184,1050
215,1191,1049
216,1191,1050
217,1199,1049
218,1199,1049
219,1206,1046
220,1213,1051
221,1215,1048
222,1219,1052
223,1216,1048
224,1221,1052
225,1221,1058
226,1217,1060
227,1221,1061
228,1223,1059
229,1222,1055
230,1230,1050
231,1226,1045
